"","post_id","push_type","push_id","push_content","push_ip","push_date_time"
"1","M.1576381373.A.EA0","→","roccqqck","去pandas的github回報比較快",NA,2019-12-15 12:27:00
"2","M.1576381373.A.EA0","推","TitanEric","你目前drop怎麼寫的",NA,2019-12-15 13:47:00
"3","M.1576381373.A.EA0","推","TitanEric","嗨 我嘗試解決 可以參考一下",NA,2019-12-15 17:14:00
"4","M.1576381373.A.EA0","→","TitanEric","https://bit.ly/34m49Dy",NA,2019-12-15 17:15:00
"5","M.1576381373.A.EA0","→","TitanEric","我猜新版pandas在抓table的內容處理機制有變 所以新版",NA,2019-12-15 17:16:00
"6","M.1576381373.A.EA0","→","TitanEric","的是multiindex 要稍微處理一下",NA,2019-12-15 17:16:00
"7","M.1576334118.A.214","推","handsomeLin","你的OS是什麼？你檢查過路徑嗎？ 看起來你用Windows",NA,2019-12-15 03:35:00
"8","M.1576334118.A.214","→","handsomeLin","系統但是用*nix的路徑",NA,2019-12-15 03:35:00
"9","M.1576334118.A.214","→","s860134","手機路徑不是一般的檔案路徑",NA,2019-12-15 14:08:00
"10","M.1576334118.A.214","→","s860134","所以一樓的方法肯定是不行的",NA,2019-12-15 14:09:00
"11","M.1576334118.A.214","→","s860134","比較快的方法是用 adb",NA,2019-12-15 14:09:00
"12","M.1576334118.A.214","→","s860134","  用 adb shell 進到手機找檔案",NA,2019-12-15 14:10:00
"13","M.1576334118.A.214","推","s860134","adb pull 拿會電腦",NA,2019-12-15 14:12:00
"14","M.1576334118.A.214","→","s860134","至於你要走 mtp ，也就是你現在所看到的路徑 要找一下有",NA,2019-12-15 14:21:00
"15","M.1576334118.A.214","→","s860134","沒有 python 的實作和用法",NA,2019-12-15 14:21:00
"16","M.1576334118.A.214","推","s860134","你在 windows 下面看起來手機儲存區和磁碟區很像，但是其",NA,2019-12-15 14:25:00
"17","M.1576334118.A.214","→","s860134","實只是ui給的錯覺",NA,2019-12-15 14:25:00
"18","M.1576334118.A.214","推","sheep1129588","adb好用",NA,2019-12-16 13:01:00
"19","M.1576253984.A.842","推","gene50814","applymap 把小於0的值變成nan 然後再dropna?",NA,2019-12-14 05:19:00
"20","M.1576253984.A.842","推","benson415","Try: df.loc[(df > 0).all(axis=1)] could be faster",NA,2019-12-14 05:57:00
"21","M.1576253984.A.842","推","benson415","https://trinket.io/python3/e2076f2b2d",NA,2019-12-14 06:03:00
"22","M.1576253984.A.842","推","hongyan","你的data在同一個column的話可以這樣",NA,2019-12-14 12:24:00
"23","M.1576253984.A.842","→","hongyan","df = df[df[""data_colname""] < 0]",NA,2019-12-14 12:24:00
"24","M.1576253984.A.842","→","hongyan","更正上面 df[~df[""data_colname""] < 0]  要加 ~ 反向",NA,2019-12-14 12:44:00
"25","M.1576253984.A.842","→","hongyan","或 df = df[df[""data_colname""] >= 0]  順便去掉Nan值",NA,2019-12-14 12:45:00
"26","M.1576253984.A.842","→","oo855050","感謝各位 方法都不錯 晚點來試試^_^",NA,2019-12-14 15:01:00
"27","M.1576253984.A.842","→","sheep1129588","我以為這種不google就上來問的伸手文會被噓爆欸，這",NA,2019-12-14 16:07:00
"28","M.1576253984.A.842","→","sheep1129588","版什麼時候變這麼友善",NA,2019-12-14 16:07:00
