"","post_id","post_author","post_category","post_title","post_date_time","post_ip","post_country","post_content","post_board"
"1","dummy","dummy","dummy","dummy",1970-01-01 00:00:00,"dummy","dummy","dummy","dummy"
"2","M.1575349019.A.638","isolaXCC","分享","PTT資料獲取工具-PTTmineR",2019-12-03 12:56:56,"114.45.141.210","臺灣","嗨大家好！想來這邊跟大家分享小弟自製的套件 PTTmineR！

PTTmineR 開發的目的是希望以 PTT 為材料的輿情、SNA以及文字探勘分析人員可以不用
寫爬蟲專注在分析工作上，相較於一般的爬蟲 PTTmineR 有以下特色：

- 友善使用者的語意化使用方式
- 整合多種 PTT 文章搜尋方式
- 內部高效率的資料處理(使用data.table)
- 支持平行運算(使用future)

以上特色可以讓使用者簡單快速地獲取 PTT 的文本，相關使用方法都可以先參考 repo
首頁的文件，如果有相關建議或是想回報 bug，可以直接跟我說或是在 issue 中做討論
！謝謝！(如果覺得這個套件有幫助到你也請幫我點個星星XDD)

github repo:https://github.com/shihjyun/PTTmineR如果有任何問題或是建議，可以在 issue 中讓我知道！

--","R_Language"
"3","M.1575130624.A.295","j2225653","問題","rvest爬取股票網頁資料",2019-12-01 00:17:02,"1.175.67.86","臺灣","[問題類型]:

經驗諮詢(我想用R爬取網頁資料，請問大家的經驗)

[軟體熟悉度]:

新手(沒寫過程式，R 是我的第一次)

[問題敘述]:

跑範例跑出以下錯誤訊息

Error in open.connection(x, ""rb"") : HTTP error 503.

以前爬還沒問題，不知道是不是網站有在過濾爬蟲，用CHROME瀏覽正常。

[程式範例]:

library(rvest)

url <- ""https://www.wantgoo.com/stock/astock/agentstat2?stockno=1722""DATA = read_html(url)

[環境敘述]:

R version 3.6.1 (2019-07-05)
Platform: x86_64-w64-mingw32/x64 (64-bit)
Running under: Windows 10 x64 (build 18362)

Matrix products: default

locale:
[1] LC_COLLATE=Chinese (Traditional)_Taiwan.950  LC_CTYPE=Chinese
(Traditional)_Taiwan.950
[3] LC_MONETARY=Chinese (Traditional)_Taiwan.950
LC_NUMERIC=C
[5] LC_TIME=Chinese (Traditional)_Taiwan.950

attached base packages:
[1] stats     graphics  grDevices utils     datasets  methods   base

other attached packages:
[1] jsonlite_1.6 httr_1.4.1   rvest_0.3.4  xml2_1.2.2

loaded via a namespace (and not attached):
[1] compiler_3.6.1 magrittr_1.5   R6_2.4.0       tools_3.6.1
curl_4.2       Rcpp_1.0.2

[關鍵字]:

rvest 爬蟲

--","R_Language"
"4","M.1575126128.A.A96","empireisme","問題","Re: 迴圈的計算(小複雜)",2019-11-30 23:02:04,"219.91.75.186","臺灣","※ 引述《empireisme (empireisme)》之銘言：: 我本身使用R大概一兩年: 目前想要寫出一個小function可以計算出以下的公式: https://imgur.com/supH7mE: d 是要計算出來的向量 長度是m: A 是一個矩陣維度是n*m，裡面的元素都是正的: alpha是A矩陣的元素: p 是一個向量長度為m 其為機率向量 裡面的元素相加等於1: 以下是我的程式碼，雖然檢查過很多次，但不確定有沒有算錯: 或是有沒有辦法用矩陣的方式去計算之，因為這樣算太慢了: set.seed(1): m=10: n=7: A <- matrix( rexp(m*n),ncol=m ,nrow=n     ): p <- c(  0.05,0.1,0.3,0.05,0.05,0.05,0.07,0.03,0.2,0.1): sum(p ): length(p ): den <- rep(0,n): densum <- rep(0,n): d<- rep(0,m): for(j in 1:m){: for(i in 1:n){:   den[i]<- sum(A[i,]*p):   densum[i]<- A[i,j]*p[j]/den[i]:   d[j]<- sum( densum ): }: }: 下面是我算出來的: [1] 0.336093550 0.855872710 2.158927311 0.233847299 0.282627585:  [6] 0.253739688 0.517757929 0.312419250 0.760612933 1.288101743https://pastebin.com/wBRDricf我需要計算的A矩陣有0在裡面，這是我後來的想法，關鍵點在於

我新增了 一行A(i,j)>0的判斷

不知道如果我的A矩陣 有很多0的狀況下 是否就只能用迴圈來寫了

或是有更快的方法 謝謝

我新增的寫法
確認這方法可以用 所以補上

expected_death3 <- function(A,s){
#A <- datatest_A
#s <- s_test
numerator<- sweep(A, 2, s, ""*"")#numeratordenominator <- matrix(rep(A%*%s,length(s)),ncol=length(s))
denominator
bigA <- numerator/denominator
#bigA
bigA[is.nan(bigA)] <- 0 #to skip zero
#bigA
d <- colSums(bigA)
return(d)
}
--","R_Language"
"5","M.1575049279.A.E11","andrew43","問題","Re: 生滿足條件的樣本個數",2019-11-30 01:41:16,"220.133.43.95","臺灣","可以改成 Recursive Function。

samplemaker_weibull <-
  function(n = 100,
           shape = 4,
           scale = 1,
           end = 1.5,
           res) {
    x <- rweibull(n, shape, scale)
    t <- runif(n, 0, end)
    observedx <- x[which(x > t)]

    if (length(observedx) == n) {
      return(observedx)
    } else {
      res <- observedx
      return(
        c(res,
          samplemaker_weibull(n - length(res), shape, scale, end, res)
        )
      )
    }
  }
samplemaker_weibull()

過程就是先做一次，若長度不夠就自己遞迴。
若是第一次寫遞迴可能會看不懂，可先從簡單的例子練習。
留意到需要增加一個 res parameter 來達成串接，但不需要指定值。※ 引述《empireisme (empireisme)》之銘言：: 我本身使用R大概一兩年: 我想要生滿足條件的樣本直到某個特定數字 例如100個: 目前自己想到的解法是 生遠大於100個樣本: 例如1000個 再去找前100個 但這樣就會生超多個: 我知道可能可以使用while 或是 repeat做到: 但是想不太到條件: 希望前輩可以提示一下怎麼設條件的作法: 我的目的是使得obserdx的個數到n個 (例如100): observedx 的條件如下: observedx <- x[which(x>t)]: 以下是我的生樣本code: samplemaker_weibull<- function(n=130,shape=4,scale=1,end=1.5 ){: x <- rweibull(n,shape,scale): t <- runif(n,0,end): observedx <- x[which(x>t)]: return(observedx): }--","R_Language"
"6","M.1575007274.A.0AB","Blackdawn","問題","Twitch API 疑問(httr)",2019-11-29 14:01:11,"180.217.110.142","臺灣","最近開始接觸httr套件

目前懂得利用利用他來抓取 Steam API 上遊戲數據

現在想要透過Twitch API 來擷取觀看次數或是熱門遊戲等等的資料

而且也已經註冊且取得自己的Client ID

但是我卡在不知道如何把Client ID 正確的輸入在程式碼上面

以下是Twitch 提供的 範例程式碼：https://i.imgur.com/3XEvxSE.jpg假如要在R上面輸入上述程式碼，要如何輸入client ID呢？

twitchapi <- content(GET(""https://api.twitch.tv/helix/streams?game_id=33214""),a
s = ""parsed"")

如果輸入不正確或是未輸入Client ID則twitchapi不會顯示任何資訊

感謝大家～

--","R_Language"
"7","M.1574995070.A.8CC","empireisme","問題","生滿足條件的樣本個數",2019-11-29 10:37:44,"219.91.75.186","臺灣","我本身使用R大概一兩年


我想要生滿足條件的樣本直到某個特定數字 例如100個

目前自己想到的解法是 生遠大於100個樣本

例如1000個 再去找前100個 但這樣就會生超多個

我知道可能可以使用while 或是 repeat做到

但是想不太到條件

希望前輩可以提示一下怎麼設條件的作法

我的目的是使得obserdx的個數到n個 (例如100)

observedx 的條件如下

observedx <- x[which(x>t)]

以下是我的生樣本code

samplemaker_weibull<- function(n=130,shape=4,scale=1,end=1.5 ){


x <- rweibull(n,shape,scale)
t <- runif(n,0,end)

observedx <- x[which(x>t)]

return(observedx)

}

--","R_Language"
"8","M.1574656447.A.C05","empireisme","問題","迴圈的計算(小複雜)",2019-11-25 12:34:01,"219.91.75.186","臺灣","我本身使用R大概一兩年

目前想要寫出一個小function可以計算出以下的公式https://imgur.com/supH7mEd 是要計算出來的向量 長度是m

A 是一個矩陣維度是n*m，裡面的元素都是正的

alpha是A矩陣的元素

p 是一個向量長度為m 其為機率向量 裡面的元素相加等於1



以下是我的程式碼，雖然檢查過很多次，但不確定有沒有算錯

或是有沒有辦法用矩陣的方式去計算之，因為這樣算太慢了

set.seed(1)
m=10
n=7

A <- matrix( rexp(m*n),ncol=m ,nrow=n     )

p <- c(  0.05,0.1,0.3,0.05,0.05,0.05,0.07,0.03,0.2,0.1)

sum(p )
length(p )

den <- rep(0,n)

densum <- rep(0,n)

d<- rep(0,m)

for(j in 1:m){
for(i in 1:n){

  den[i]<- sum(A[i,]*p)
  densum[i]<- A[i,j]*p[j]/den[i]
  d[j]<- sum( densum )
}
}

下面是我算出來的

[1] 0.336093550 0.855872710 2.158927311 0.233847299 0.282627585
 [6] 0.253739688 0.517757929 0.312419250 0.760612933 1.288101743
--","R_Language"
"9","M.1573551907.A.A06","jerkoffme","問題","taskscheduleR",2019-11-12 17:45:05,"101.10.9.136","臺灣","[問題類型]:
程式諮詢(我想用R 做某件事情，但是我不知道要怎麼用R 寫出來)

我想在 local 段跑 daily 的 R script
我知道用兩個方式
1. Rstudio 裡的 Addins --> 我設定完後，我有看到要跑的 script 複製到該 package
   的 exdata folder，但好像一直抓不到檔案，指定時間到了完全沒跑
2. 只接用 taskscheduleR 下指令

library(taskscheduleR)
myscript <- ""../appPostPromotionTest.R"" # path to script

taskscheduler_create(taskname = ""testtask5"", rscript = myscript,
                     schedule = ""HOURLY"", starttime = ""17:35"",
                     startdate = format(Sys.Date(), ""%Y/%m/%d""))

時間到了後，在該 folder 產出 log 檔，裡面顯示如下

[1] """"
Warning message:
In Sys.setlocale(category = ""LC_ALL"", locale = ""zh_TW.UTF-8"") :
  作業系統回報無法實現設定語區為 ""zh_TW.UTF-8"" 的要求
[1] """"
Warning message:
In Sys.setlocale(category = ""LC_ALL"", locale = ""zh_TW.UTF-8"") :
  作業系統回報無法實現設定語區為 ""zh_TW.UTF-8"" 的要求
[1] """"
Warning message:
In Sys.setlocale(category = ""LC_ALL"", locale = ""UTF-8"") :
  作業系統回報無法實現設定語區為 ""UTF-8"" 的要求
錯誤: 7:1: 未預期的 ')'
7: )
    ^
停止執行

想請問這要如何解，或始有其他方式能讓我跑 job 嗎

[軟體熟悉度]:
使用者(已經有用R 做過不少作品)

[問題敘述]:
想在 local 端跑 daily job with R script

[環境敘述]:R version 3.5.3 (2019-03-11)Platform: x86_64-w64-mingw32/x64 (64-bit)Running under: Windows 10 x64 (build 18362)Matrix products: defaultlocale:[1] LC_COLLATE=Chinese (Traditional)_Taiwan.950  LC_CTYPE=Chinese(Traditional)_Taiwan.950[3] LC_MONETARY=Chinese (Traditional)_Taiwan.950 LC_NUMERIC=C[5] LC_TIME=Chinese (Traditional)_Taiwan.950attached base packages:[1] stats     graphics  grDevices utils     datasets  methods   baseother attached packages:[1] shiny_1.3.2            taskscheduleR_1.4      lubridate_1.7.4forcats_0.4.0          purrr_0.3.2[6] readr_1.3.1            tidyr_1.0.0            tibble_2.1.3ggplot2_3.2.1          tidyverse_1.2.1[11] stringr_1.4.0          bigrquery_1.2.0        dplyr_0.8.3googleAnalyticsR_0.7.0 googleAuthR_1.1.1loaded via a namespace (and not attached):Error in x[[""Version""]] : subscript out of boundsIn addition: Warning messages:1: In FUN(X[[i]], ...) :DESCRIPTION file of package 'htmltools' is missing or broken2: In FUN(X[[i]], ...) :DESCRIPTION file of package 'later' is missing or broken3: In FUN(X[[i]], ...) :DESCRIPTION file of package 'promises' is missing or broken--推 maxxV3:說真的    有人總統想選一個女人家嗎  = =                  04/19 21:48→ teremy:韓國總統都是女的了。韓國還不夠大男人嗎?                  04/19 21:49噓 miler22020:樓上是遠古時帶來的嗎                                 04/19 21:49→ miler22020:樓樓上                                               04/19 21:49推 Top5566:樓樓樓上                                                04/19 21:50→ miler22020:樓樓樓樓   幹 算了                                   04/19 21:50--","R_Language"
"10","M.1573309005.A.9B0","hank830214","問題","關於爬蟲-抓取資料日期",2019-11-09 22:16:43,"1.160.188.204","臺灣","[問題類型]:

程式諮詢(我想用R 做某件事情，但是我不知道要怎麼用R 寫出來)

[軟體熟悉度]:
入門(寫過其他程式，只是對語法不熟悉)

[問題敘述]:
各位大大好，小弟想利用R抓取集保所股權分散表查詢中所有的資料日期

一開始，我透過開發者工具(Chrome中按下F12)，找到可能可抓到資料日期的 Request URL (https://www.tdcc.com.tw/smWeb/QryStockAjax.do)有看到 Form Data 有 REQ_OPR: qrySelScaDates

但是下一步就不知道要怎麼把 Response (資料日期) 抓出來。

謝謝！

[程式範例]:

url <- ""https://www.tdcc.com.tw/smWeb/QryStockAjax.do""# 嘗試用 POST
library(httr)
query <- list('form[REQ_OPR]' = ""qrySelScaDates"")
response <- POST(url, body = query)
content(response, ""text"") # 沒有任何東西

[關鍵字]

rvest, httr, RCurl

--","R_Language"
